file_name,bin,value
AROTHKO_10312561463.jpg,10,846
AROTHKO_10312561464.jpg,5,-238
AROTHKO_10312561465.jpg,7,-430
AROTHKO_10312561466.jpg,10,394
AROTHKO_10312561467.jpg,9,272
AROTHKO_10312561468.jpg,3,-215
AROTHKO_10312561469.jpg,9,-1263
AROTHKO_10312561471.jpg,21,-1754
AROTHKO_10312561472.jpg,27,-863
AROTHKO_10313269609.jpg,20,-974
AROTHKO_10313269610.jpg,23,-667
AROTHKO_10313269611.jpg,15,251
AROTHKO_10313269612.jpg,17,-751
AROTHKO_10313269613.jpg,16,376
AROTHKO_10313269614.jpg,24,-1019
AROTHKO_10313269615.jpg,18,-204
AROTHKO_10313269616.jpg,21,-598
AROTHKO_10313269617.jpg,23,237
AROTHKO_10313269618.jpg,20,-886
AROTHKO_10313269619.jpg,17,-143
AROTHKO_10313269620.jpg,18,-1319
AROTHKO_10313269621.jpg,24,-552
AROTHKO_10313269622.jpg,22,679
AROTHKO_10313269623.jpg,25,-535
AROTHKO_10313269624.jpg,24,-947
AROTHKO_10313269625.jpg,24,278
AROTHKO_10313269626.jpg,22,989
AROTHKO_10313269627.jpg,21,-72
AROTHKO_10313269628.jpg,20,429
AROTHKO_10313269629.jpg,20,-186
AROTHKO_10313269630.jpg,18,485
AROTHKO_10313269631.jpg,19,797
AROTHKO_10313269632.jpg,18,936
AROTHKO_10313269633.jpg,20,290
AROTHKO_10313269634.jpg,8,491
AROTHKO_10313269635.jpg,3,-127
AROTHKO_10313269636.jpg,3,-47
AROTHKO_10313269637.jpg,6,-445
AROTHKO_10313269638.jpg,18,1590
AROTHKO_10313269639.jpg,7,-286
AROTHKO_10313269640.jpg,9,-50
AROTHKO_10313269641.jpg,14,183
AROTHKO_10313269642.jpg,15,290
AROTHKO_10313269643.jpg,9,437
AROTHKO_10313269644.jpg,16,2209
AROTHKO_10313269645.jpg,10,33
AROTHKO_10313269646.jpg,7,-421
AROTHKO_10313269647.jpg,10,943
AROTHKO_10313269648.jpg,11,353
AROTHKO_10313269649.jpg,3,-465
AROTHKO_10313269650.jpg,8,-1364
AROTHKO_10313269651.jpg,14,-693
AROTHKO_10313269652.jpg,9,-774
